n,Bubble,Insertion Sort,Merge Sort,Heap Sort,Quick Sort,Counting Sort
1,4.5299530029296873e-07,9.5367431640625e-08,1.6689300537109374e-07,6.198883056640625e-07,0.0,1.239776611328125e-06
201,0.0013787269592285157,0.00014162063598632812,0.00021631717681884765,0.00043888092041015624,0.0001730680465698242,4.508495330810547e-05
401,0.006683135032653808,0.0005615234375,0.0004718780517578125,0.0010418653488159179,0.0004042148590087891,0.00010473728179931641
601,0.016516518592834473,0.0014324665069580078,0.0007699966430664062,0.0017136335372924805,0.000668025016784668,0.00016896724700927735
801,0.030846810340881346,0.0025665283203125,0.0010500431060791015,0.0024261236190795898,0.0009563922882080078,0.00023305416107177734
1001,0.04981069564819336,0.004204010963439942,0.001358795166015625,0.0031565189361572265,0.0012177705764770507,0.00029909610748291016
1201,0.072332763671875,0.006033158302307129,0.0016721248626708984,0.003935599327087402,0.0014800071716308595,0.0003604412078857422
1401,0.10053164958953857,0.008158326148986816,0.0019798040390014648,0.004752016067504883,0.0017530679702758788,0.00042853355407714846
1601,0.13676562309265136,0.011145401000976562,0.0023145675659179688,0.005622553825378418,0.0020905733108520508,0.0005052804946899414
1801,0.17061619758605956,0.013695168495178222,0.002649235725402832,0.006398701667785644,0.0023224592208862306,0.0005676746368408203
2001,0.21349573135375977,0.018485450744628908,0.0029206037521362304,0.007602691650390625,0.0027571678161621093,0.0006237030029296875
2201,0.25891640186309817,0.020671820640563963,0.003346085548400879,0.008101081848144532,0.0029204368591308595,0.000687265396118164
2401,0.3084712982177734,0.02494783401489258,0.003731393814086914,0.009002280235290528,0.003235149383544922,0.0007543563842773438
2601,0.36306018829345704,0.029169034957885743,0.004013371467590332,0.009827780723571777,0.00397038459777832,0.0008200168609619141
2801,0.42028329372406004,0.03344638347625732,0.004309296607971191,0.010721945762634277,0.00381772518157959,0.0008807897567749024
